       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          148           -150           -100     0.00620946     0.00987357     -0.0100573              0              0              0
          152           -150           -100     0.00640188     0.00983201    -0.00994027              0              0              0
          156           -150           -100     0.00658327     0.00978816    -0.00982074              0              0              0
          160           -150           -100     0.00675325     0.00974197     -0.0096989              0              0              0
          164           -150           -100     0.00691258     0.00969362    -0.00957515              0              0              0
          168           -150           -100     0.00706139     0.00964317    -0.00944974              0              0              0
          172           -150           -100     0.00719877     0.00959046    -0.00932275              0              0              0
          176           -150           -100     0.00732496     0.00953554    -0.00919445              0              0              0
          180           -150           -100     0.00744072      0.0094786    -0.00906516              0              0              0
          184           -150           -100     0.00754649     0.00941973    -0.00893507              0              0              0
          188           -150           -100     0.00764202     0.00935889    -0.00880436              0              0              0
          192           -150           -100     0.00772646     0.00929596     -0.0086732              0              0              0
          196           -150           -100     0.00780162     0.00923129    -0.00854184              0              0              0
          200           -150           -100      0.0078672     0.00916484    -0.00841042              0              0              0
          204           -150           -100     0.00792342     0.00909668    -0.00827912              0              0              0
          208           -150           -100     0.00796976     0.00902672    -0.00814813              0              0              0
          212           -150           -100     0.00800752     0.00895523    -0.00801758              0              0              0
          216           -150           -100     0.00803693     0.00888227    -0.00788757              0              0              0
          220           -150           -100     0.00805828      0.0088079    -0.00775825              0              0              0
          224           -150           -100     0.00807148     0.00873215    -0.00762977              0              0              0
          228           -150           -100     0.00807646     0.00865504    -0.00750229              0              0              0
          232           -150           -100     0.00807427     0.00857676    -0.00737583              0              0              0
          236           -150           -100     0.00806518     0.00849739    -0.00725048              0              0              0
          240           -150           -100     0.00804948     0.00841701    -0.00712632              0              0              0
          244           -150           -100     0.00802697     0.00833563    -0.00700353              0              0              0
          248           -150           -100     0.00799803     0.00825334    -0.00688217              0              0              0
          252           -150           -100     0.00796336     0.00817028    -0.00676223              0              0              0
          256           -150           -100     0.00792324     0.00808653    -0.00664375              0              0              0
          260           -150           -100     0.00787784     0.00800215    -0.00652681              0              0              0
          264           -150           -100     0.00782732     0.00791721    -0.00641149              0              0              0
          268           -150           -100     0.00777177     0.00783178    -0.00629791              0              0              0
          272           -150           -100     0.00771172     0.00774596    -0.00618602              0              0              0
          276           -150           -100      0.0076476     0.00765985    -0.00607578              0              0              0
          280           -150           -100     0.00757965      0.0075735    -0.00596721              0              0              0
          284           -150           -100     0.00750749     0.00748698    -0.00586061              0              0              0
          288           -150           -100     0.00743202     0.00740037    -0.00575572              0              0              0
          292           -150           -100     0.00735079     0.00731386    -0.00565405              0              0              0
