       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          158           -150           -100      0.0211876      0.0485917              0              0              0              0
          160           -150           -100      0.0211896      0.0484868              0              0              0              0
          162           -150           -100      0.0211917      0.0483819              0              0              0              0
          164           -150           -100      0.0211859      0.0482767              0              0              0              0
          166           -150           -100      0.0211706      0.0481712              0              0              0              0
          168           -150           -100      0.0211553      0.0480657              0              0              0              0
          170           -150           -100      0.0211355        0.04796              0              0              0              0
          172           -150           -100      0.0211041       0.047854              0              0              0              0
          174           -150           -100      0.0210727      0.0477479              0              0              0              0
          176           -150           -100      0.0210396      0.0476418              0              0              0              0
          178           -150           -100      0.0209933      0.0475353              0              0              0              0
          180           -150           -100      0.0209471      0.0474287              0              0              0              0
          182           -150           -100      0.0209008      0.0473222              0              0              0              0
          184           -150           -100      0.0208415      0.0472152              0              0              0              0
          186           -150           -100      0.0207815      0.0471083              0              0              0              0
          188           -150           -100      0.0207215      0.0470013              0              0              0              0
          190           -150           -100      0.0206517      0.0468942              0              0              0              0
          192           -150           -100       0.020579      0.0467869              0              0              0              0
          194           -150           -100      0.0205063      0.0466797              0              0              0              0
          196           -150           -100      0.0204266      0.0465723              0              0              0              0
          198           -150           -100      0.0203423      0.0464649              0              0              0              0
          200           -150           -100       0.020258      0.0463575              0              0              0              0
          202           -150           -100       0.020169        0.04625              0              0              0              0
          204           -150           -100      0.0200741      0.0461425              0              0              0              0
          206           -150           -100      0.0199791      0.0460351              0              0              0              0
          208           -150           -100      0.0198815      0.0459276              0              0              0              0
          210           -150           -100      0.0197768      0.0458202              0              0              0              0
          212           -150           -100      0.0196721      0.0457128              0              0              0              0
          214           -150           -100      0.0195664      0.0456055              0              0              0              0
          216           -150           -100      0.0194528      0.0454983              0              0              0              0
          218           -150           -100      0.0193392      0.0453912              0              0              0              0
