       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          240           -150           -100      0.0158691      0.0164512     -0.0151564              0              0              0
          245           -150           -100      0.0157575      0.0162482     -0.0148004              0              0              0
          250           -150           -100      0.0156333      0.0160441     -0.0144526              0              0              0
          255           -150           -100      0.0154973      0.0158391     -0.0141127              0              0              0
          260           -150           -100      0.0153508      0.0156333     -0.0137807              0              0              0
          265           -150           -100      0.0151947       0.015427     -0.0134562              0              0              0
          270           -150           -100      0.0150297      0.0152203     -0.0131395              0              0              0
          275           -150           -100      0.0148569      0.0150133     -0.0128301              0              0              0
          280           -150           -100      0.0146765      0.0148062     -0.0125285              0              0              0
          285           -150           -100      0.0144892      0.0145991     -0.0122344              0              0              0
          290           -150           -100      0.0142963      0.0143923     -0.0119473              0              0              0
          295           -150           -100      0.0140981      0.0141858      -0.011667              0              0              0
          300           -150           -100      0.0138954      0.0139799     -0.0113935              0              0              0
          305           -150           -100      0.0136885      0.0137746     -0.0111267              0              0              0
          310           -150           -100      0.0134776      0.0135702     -0.0108671              0              0              0
          315           -150           -100      0.0132636      0.0133668     -0.0106139              0              0              0
          320           -150           -100       0.013047      0.0131643     -0.0103666              0              0              0
          325           -150           -100       0.012828      0.0129632     -0.0101257              0              0              0
          330           -150           -100      0.0126068      0.0127635    -0.00989151              0              0              0
          335           -150           -100      0.0123841      0.0125652    -0.00966286              0              0              0
          340           -150           -100      0.0121601      0.0123684    -0.00943951              0              0              0
          345           -150           -100       0.011935      0.0121735    -0.00922288              0              0              0
          350           -150           -100      0.0117091      0.0119803    -0.00901129              0              0              0
          355           -150           -100      0.0114826      0.0117892    -0.00880561              0              0              0
          360           -150           -100      0.0112559      0.0116002    -0.00860546              0              0              0
          365           -150           -100      0.0110291      0.0114143    -0.00841296              0              0              0
          370           -150           -100      0.0108023      0.0112303    -0.00822458              0              0              0
          375           -150           -100      0.0105755      0.0110463     -0.0080362              0              0              0
          380           -150           -100      0.0103498       0.010868    -0.00785985              0              0              0
          385           -150           -100      0.0101243      0.0106903    -0.00768474              0              0              0
          390           -150           -100      0.0098994      0.0105145    -0.00751309              0              0              0
          395           -150           -100     0.00967612      0.0103437    -0.00735065              0              0              0
          400           -150           -100     0.00945284      0.0101729    -0.00718821              0              0              0
          405           -150           -100     0.00923128      0.0100062    -0.00703268              0              0              0
          410           -150           -100     0.00901071     0.00984184    -0.00688104              0              0              0
          415           -150           -100     0.00879176     0.00968093    -0.00673476              0              0              0
          420           -150           -100     0.00857394     0.00952243    -0.00659221              0              0              0
          425           -150           -100     0.00835839     0.00936838      -0.006456              0              0              0
          430           -150           -100     0.00814476     0.00921814    -0.00632521              0              0              0
          435           -150           -100     0.00793114     0.00906791    -0.00619443              0              0              0
          440           -150           -100     0.00771771     0.00891802     -0.0060641              0              0              0
          445           -150           -100     0.00751013     0.00877848    -0.00594751              0              0              0
          450           -150           -100     0.00730254     0.00863895    -0.00583092              0              0              0
          455           -150           -100     0.00709496     0.00849941    -0.00571433              0              0              0
          460           -150           -100     0.00689085      0.0083656    -0.00560482              0              0              0
          465           -150           -100     0.00668985     0.00823695    -0.00550167              0              0              0
          470           -150           -100     0.00648886     0.00810829    -0.00539853              0              0              0
          475           -150           -100     0.00628803     0.00797989    -0.00529567              0              0              0
          480           -150           -100     0.00609498     0.00786363    -0.00520691              0              0              0
          485           -150           -100     0.00590193     0.00774736    -0.00511814              0              0              0
          490           -150           -100     0.00570887     0.00763109    -0.00502937              0              0              0
          495           -150           -100     0.00551582     0.00751483    -0.00494061              0              0              0
          500           -150           -100     0.00532847     0.00743379    -0.00487947              0              0              0
         -200           -145           -100    -0.00895892      0.0135208    -0.00885867              0              0              0
         -195           -145           -100    -0.00943862      0.0136222     -0.0089671              0              0              0
         -190           -145           -100    -0.00991832      0.0137236    -0.00907553              0              0              0
         -185           -145           -100      -0.010398      0.0138251    -0.00918396              0              0              0
         -180           -145           -100     -0.0108777      0.0139265    -0.00929239              0              0              0
         -175           -145           -100     -0.0113574      0.0140279    -0.00940082              0              0              0
         -170           -145           -100     -0.0118311      0.0142269    -0.00963881              0              0              0
         -165           -145           -100     -0.0123037      0.0144422    -0.00989845              0              0              0
         -160           -145           -100     -0.0127763      0.0146575     -0.0101581              0              0              0
         -155           -145           -100     -0.0132489      0.0148728     -0.0104177              0              0              0
         -150           -145           -100     -0.0137216      0.0150881     -0.0106774              0              0              0

#
# FILE TRUNCATED
#
# Included in repository to show CST's ASCII output format.
# Original file size = 168 MB
#
