       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          -70           -150           -100     -0.0131496      0.0324256     -0.0266126              0              0              0
          -65           -150           -100     -0.0122734      0.0326131     -0.0268918              0              0              0
          -60           -150           -100     -0.0113814      0.0327913     -0.0271526              0              0              0
          -55           -150           -100     -0.0104662      0.0329506     -0.0273783              0              0              0
          -50           -150           -100    -0.00954202      0.0330995     -0.0275861              0              0              0
          -45           -150           -100    -0.00860818      0.0332371     -0.0277743              0              0              0
          -40           -150           -100    -0.00766664      0.0333609     -0.0279401              0              0              0
          -35           -150           -100    -0.00671581      0.0334644     -0.0280747              0              0              0
          -30           -150           -100    -0.00576294        0.03356      -0.028198              0              0              0
          -25           -150           -100    -0.00480653      0.0336422      -0.028302              0              0              0
          -20           -150           -100    -0.00384705      0.0337049     -0.0283799              0              0              0
          -15           -150           -100    -0.00288641      0.0337548     -0.0284413              0              0              0
          -10           -150           -100    -0.00192488      0.0337919     -0.0284865              0              0              0
           -5           -150           -100   -0.000962748      0.0338161     -0.0285157              0              0              0
            0           -150           -100   -3.21772e-07      0.0338233     -0.0285245              0              0              0
            5           -150           -100    0.000962106      0.0338161     -0.0285158              0              0              0
           10           -150           -100     0.00192424      0.0337919     -0.0284865              0              0              0
           15           -150           -100     0.00288578      0.0337549     -0.0284413              0              0              0
           20           -150           -100     0.00384644       0.033705     -0.0283799              0              0              0
           25           -150           -100     0.00480594      0.0336422     -0.0283021              0              0              0
           30           -150           -100     0.00576236      0.0335601     -0.0281982              0              0              0
           35           -150           -100     0.00671526      0.0334644     -0.0280748              0              0              0
           40           -150           -100     0.00766611       0.033361     -0.0279403              0              0              0
           45           -150           -100     0.00860767      0.0332372     -0.0277745              0              0              0
           50           -150           -100     0.00954154      0.0330995     -0.0275863              0              0              0
