       x [mm]         y [mm]         z [mm]  BxRe [Vs/m^2]  ByRe [Vs/m^2]  BzRe [Vs/m^2]  BxIm [Vs/m^2]  ByIm [Vs/m^2]  BzIm [Vs/m^2]
          144           -150           -100     0.00356951      0.0058993    -0.00655348              0              0              0
          148           -150           -100     0.00369024     0.00587457    -0.00647484              0              0              0
          152           -150           -100     0.00380473     0.00584851    -0.00639441              0              0              0
          156           -150           -100     0.00391251     0.00582106    -0.00631225              0              0              0
          160           -150           -100     0.00401417     0.00579234    -0.00622868              0              0              0
          164           -150           -100     0.00410877      0.0057622     -0.0061437              0              0              0
          168           -150           -100      0.0041973     0.00573084    -0.00605766              0              0              0
          172           -150           -100     0.00427922     0.00569817    -0.00597063              0              0              0
          176           -150           -100     0.00435479     0.00566427    -0.00588281              0              0              0
          180           -150           -100     0.00442414     0.00562917    -0.00579435              0              0              0
          184           -150           -100     0.00448718     0.00559287     -0.0057054              0              0              0
          188           -150           -100     0.00454393     0.00555538    -0.00561611              0              0              0
          192           -150           -100     0.00459505     0.00551685    -0.00552662              0              0              0
          196           -150           -100     0.00463989     0.00547716    -0.00543706              0              0              0
          200           -150           -100     0.00467919     0.00543647    -0.00534756              0              0              0
          204           -150           -100     0.00471303      0.0053948    -0.00525823              0              0              0
          208           -150           -100     0.00474096     0.00535209    -0.00516921              0              0              0
          212           -150           -100     0.00476408     0.00530855    -0.00508055              0              0              0
          216           -150           -100     0.00478171     0.00526407    -0.00499242              0              0              0
          220           -150           -100      0.0047946      0.0052188    -0.00490484              0              0              0
          224           -150           -100     0.00480265     0.00517274    -0.00481793              0              0              0
          228           -150           -100       0.004806     0.00512594    -0.00473179              0              0              0
          232           -150           -100     0.00480516     0.00507848    -0.00464641              0              0              0
          236           -150           -100     0.00479969     0.00503034    -0.00456198              0              0              0
          240           -150           -100     0.00479052     0.00498165    -0.00447841              0              0              0
          244           -150           -100     0.00477707     0.00493238    -0.00439593              0              0              0
          248           -150           -100     0.00476014     0.00488265    -0.00431442              0              0              0
          252           -150           -100     0.00473954     0.00483246    -0.00423404              0              0              0
          256           -150           -100     0.00471556     0.00478188    -0.00415477              0              0              0
          260           -150           -100     0.00468843     0.00473095    -0.00407665              0              0              0
          264           -150           -100     0.00465826     0.00467973    -0.00399971              0              0              0
          268           -150           -100     0.00462504     0.00462825    -0.00392405              0              0              0
          272           -150           -100     0.00458923     0.00457657    -0.00384957              0              0              0
          276           -150           -100     0.00455078     0.00452473    -0.00377639              0              0              0
          280           -150           -100     0.00450992     0.00447278    -0.00370447              0              0              0
          284           -150           -100     0.00446683     0.00442076    -0.00363381              0              0              0
          288           -150           -100     0.00442162     0.00436871    -0.00356445              0              0              0
          292           -150           -100     0.00437315     0.00431674    -0.00349723              0              0              0
          296           -150           -100     0.00432381     0.00426481    -0.00343061              0              0              0
          300           -150           -100     0.00427372     0.00421293    -0.00336459              0              0              0
          304           -150           -100     0.00422031     0.00416132    -0.00330125              0              0              0
          308           -150           -100     0.00416689     0.00410971    -0.00323792              0              0              0
          312           -150           -100      0.0041112     0.00405849    -0.00317682              0              0              0
          316           -150           -100     0.00405444     0.00400744    -0.00311677              0              0              0
          320           -150           -100     0.00399721     0.00395653     -0.0030573              0              0              0
          324           -150           -100     0.00393778     0.00390625     -0.0030005              0              0              0
          328           -150           -100     0.00387835     0.00385598     -0.0029437              0              0              0
          332           -150           -100     0.00381752     0.00380635    -0.00288906              0              0              0
          336           -150           -100     0.00375603     0.00375704    -0.00283546              0              0              0
          340           -150           -100     0.00369426     0.00370792     -0.0027824              0              0              0
          344           -150           -100     0.00363123     0.00365974    -0.00273192              0              0              0
          348           -150           -100      0.0035682     0.00361156    -0.00268145              0              0              0
          352           -150           -100     0.00350439     0.00356432     -0.0026332              0              0              0
          356           -150           -100     0.00344023     0.00351751    -0.00258597              0              0              0
          360           -150           -100     0.00337607     0.00347069    -0.00253874              0              0              0
          364           -150           -100     0.00331133     0.00342527     -0.0024944              0              0              0
          368           -150           -100      0.0032465     0.00338006    -0.00245054              0              0              0
          372           -150           -100     0.00318167     0.00333492    -0.00240677              0              0              0
          376           -150           -100     0.00311663     0.00329146    -0.00236616              0              0              0
          380           -150           -100      0.0030516       0.003248    -0.00232555              0              0              0
          384           -150           -100     0.00298662     0.00320508    -0.00228583              0              0              0
          388           -150           -100     0.00292187     0.00316433    -0.00224967              0              0              0
          392           -150           -100     0.00285712     0.00312357     -0.0022135              0              0              0
